Los fundadores de Valentia fueron...;criminales romanos desterrados;legionarios romanos que lucharon contra Viriato;ciudadanos romanos en busca de fortuna;senadores retirados;B;1 Valencia Romana;4 Complicada
El Palau se amplió en el siglo XVI con una gran torre. ¿ Quién la realizó?;Corbera;Lanuza;Montano;Pere Compte;C;3 Valencia Moderna;4 Complicada
¿qué consecuencias puede tener para la salud vivir bajo una antena de telefonía móvil?;todas son ciertas;No produce ningún riesgo;Esta emisión de radiación puede producir cambios eléctricos en la membrana de todas las células del cuerpo, alterando los flujos celulares de algunos iones, sobre todo el calcio, lo que podría tener efectos biológicos importantes. ;Es un riesgo para los animales;C;6 Red de telefonía en Valencia;3 Normal
¿Qué es un GPS?;Un sistema de videoconferencia;Una ley que regula la telefonía móvil;Un sistema de posicionamiento digital;Un sistema de manos libres;C;6 Red de telefonía en Valencia;3 Normal
¿Cómo funciona el WI-FI ?;con cable;con boostmeister;con tecnología inalámbrica;todas son falsas ;C;6 Red de telefonía en Valencia;3 Normal
"¿A qué se refiere el eslogan ""No pasarán""?";Eslogan de nacionalistas referido a los republicanos;Eslogan de los republicanos referido a los nacionalistas;Ninguna de las dos;Eslogan solo de los republicanos;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿ Para qué se usa hoy en día el Palau de la Generalitat?;para hacer exposiciones;es la sede del Gobierno;es un museo de instrumentos musicales;es una casa donde viven ricos;B;3 Valencia Moderna;1 Muy fácil
¿Cuántos días resistió la República después de la caída de Madrid?;3;6;2;8;A;5 Valencia desde la guerra civil hasta el presente;2 Fácil
Valentia es destruida y abandonada en el 75 ac por....;una inundación;la invasión de los bárbaros;su lucha contra los cartagineses;tomar parte por el bando perdedor en la guerra civil;D;1 Valencia Romana;3 Normal
Nombra la capital de la república en Noviembre 1936;Madrid;Barcelona;Valencia;Toledo;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Quién dirigía las tropas nacionales?;Hitler ;Stalin;Franco;Lenin;C;5 Valencia desde la guerra civil hasta el presente;1 Muy fácil
Una característica de la Tecnología digital es: ;Mayor claridad y más funciones en la telefonía;Coste reducido;Es mas antigua;Todas son correctas;A;6 Red de telefonía en Valencia;4 Complicada
Que representa la canción nacionalista principalmente?;La violencia en la batalla;Los resultados conseguidos en batalla;El dolor hacia los caidos en la guerra;Respeto ante toda la sociedad;B;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Para qué se utiliza \'Ctrl + C\'?;Pegar;Cortar;Seleccionar;Copiar;D;6 Red de telefonía en Valencia;1 Muy fácil
La refundación de Valentia tiene lugar en la época;Republicana;Monárquica;Imperial;en ninguna de las anteriores;C;1 Valencia Romana;3 Normal
El edificio de telefónica de valencia se situa en...;En el puerto;En la ciudad de las artes y las ciencias;En la plaza del ayuntamiento;En dust-ll;C;6 Red de telefonía en Valencia;4 Complicada
¿Cómo se denomina el ordenador donde se almacenan las páginas web?;Ordenador portátil;Servidor;Smartphone;Administrador;B;6 Red de telefonía en Valencia;3 Normal
¿ Qué  concepto se puede utilizar en las nuevas tecnologías??;nunca cambia;concepto de “generación”, de forma que cada generación engloba un conjunto de estándares de transmisión de datos (y de voz) que ofrecen unas determinadas prestaciones y calidad de servicio. ;tecnología analógica en todas las tecnologías;todas son correctas;B;6 Red de telefonía en Valencia;4 Complicada
¿Cuantos soldados aportó Mussolini a Franco?;10.000 soldados;90.000 soldados;30.000 soldados;50.000 soldados;D;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Qué colores tiene la bandera republicana?;Amarillo,rojo,azul;Rojo,amarillo,verde;Amarillo,rojo,amarillo;Rojo,amarillo,morado;D;5 Valencia desde la guerra civil hasta el presente;3 Normal
Dentro de las murallas los ciudadnos vivian en...;domus;insulae;templos;basílicas;B;1 Valencia Romana;3 Normal
Com li diuen al fill de tio canya en la canço popular valenciana;Rafel;Manel;Cento;Tio canya;D;5 Valencia desde la guerra civil hasta el presente;5 Muy complicada
¿Cuantos colores tuvo la bandera de la II República Española y cuales eran? ;4, (Rojo, Amarillo, Morado y Naranja);3, (Azul, Blanco, Verde);3, (Rojo, Amarillo y Morado);2, (Rojo y Amarillo);C;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Cual fué su primera obra?; El queso de bola;La tentación;El ciego del barrio;El viaje de la vida;A;4 Valencia contemporánea;2 Fácil
Como era la bandera nacional antes del golpe ?;Bandera fascista;Bandera republicana;Bandera actual;Bandera comunista ;B;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Dónde nació José Serrano?;Sueca;Alaquás ;Alginet;Canet d\'en Berenguer;A;4 Valencia contemporánea;3 Normal
¿cual es la tecnología más rápida?;Tecnología ADSL ;Fibra óptica;Tecnología 3G;Tecnología mediante Wi-Fi;B;6 Red de telefonía en Valencia;4 Complicada
¿Quién era Conchita Piquer?;Escritora;Cantante y actriz;Médica;Psicóloga;B;4 Valencia contemporánea;3 Normal
Los edificios más importantes de Valentia estaban....;la basílica;el foro;el circo;el senado;B;1 Valencia Romana;3 Normal
"¿ De qué nacionalidad era el apellido "" Bori ""?";Español;Portugués;Francés;Italiano;D;4 Valencia contemporánea;3 Normal
Los edificios destinados al baño se llamaban...;piscinas;horreum;santuarios;Termas;D;1 Valencia Romana;3 Normal
¿Cuál era el nombre completo de Lucrecia Bori?;Lucrecia Bori Sánchez;Lucrecia Bori Romero de Riancho;Lucrecia Borja y González de Riancho;Lucrecia Borja de Vidal;C;4 Valencia contemporánea;3 Normal
"¿Cuándo nació Concha Piquer?""";1970;1889;1912;1906;D;4 Valencia contemporánea;3 Normal
Sabemos que Valentia fué una ciudad romana importante porque tuvo....;Circo;Teatro;Templo;Foro;A;1 Valencia Romana;3 Normal
por que es reconocido José Serrano ;compositor español;cantante de copla ;escultor;doctor ;A;4 Valencia contemporánea;3 Normal
¿Por qué Manuel Penella dejó el instrumento?;Se cansó de tocar y empezó a componer;Tuvo un accidente;Quería dedicarse al teatro;Quería tomarse un descanso;B;4 Valencia contemporánea;3 Normal
¿Cuál de estas obras es de José Serrano?;"""La malquerida""";"""Los pirandones""";"""El motete""";"""La tentación""";C;4 Valencia contemporánea;5 Muy complicada
El fin de Hispania tuvo lugar en...;Siglo X.;Siglo VIII.;Siglo III.;Siglo V.;D;1 Valencia Romana;4 Complicada
¿Cual era la profesión de Conchita Piquer?;Pintora;Profesora;Cantante;Banquera;C;4 Valencia contemporánea;3 Normal
¿ Dónde actuó en España?;Teatro real de Madrid;No actuó en España;Gran Teatre de Liceu, Barcelona;Palau de les Arts Reina Sofía;B;4 Valencia contemporánea;4 Complicada
¿Cuál de las siguientes respuestas es una centralita?;Centralita de Kqly;Centralita de Wimax;Centrales de nodos;Central de conmutación local;D;6 Red de telefonía en Valencia;5 Muy complicada
¿Cual de estas obras pertenece a Manuel Penella?; Los leones de Castilla;Los claveles;La venta de los gatos.;Amor ciego, zarzuela;D;4 Valencia contemporánea;2 Fácil
¿Qué fue Lucrecia Bori?;actriz ;compositora;cantante, soprano;pianista;C;4 Valencia contemporánea;1 Muy fácil
Que canciones son de Lucrecia Bori?;Alma de dios : Seguidillas;Te quiero, morena;Mi chiamano mimì from la bohème;Dime que me quieres;C;4 Valencia contemporánea;2 Fácil
¿En qué ciudad americana Concha Piquer actuó?;Los Angeles;Detroit;Nueva York;Miami;C;4 Valencia contemporánea;1 Muy fácil
¿A los cuantos años murió Conchita Piquer;83;85;78;80;A;4 Valencia contemporánea;4 Complicada
¿Qué clasificación vocal en el canto lírico poseía Lucrecia Bori?;Contralto;Soprano;Mezzosoprano;Ninguna de las anteriores;B;4 Valencia contemporánea;3 Normal
¿En que año nació Lucrezia Bori?;1886;2000;1887;1870;C;4 Valencia contemporánea;4 Complicada
¿ Qué arquitecto no  participó  en la construcción de la gran torre del Palau?;Joan Ibarra;Johan Manzano ;Pere Compte;Calatrava;D;3 Valencia Moderna;1 Muy fácil
¿Cómo se llamaba su primera hija?;Bogdan Velázquez Piquer;Conchita Márquez Piquer;Conchita Colón Piquer;Alejandra Navarro Piquer;B;4 Valencia contemporánea;4 Complicada
¿Qué trabajos realizó en América Manuel Penella?;músico militar, limpiador, capitán;músico militar, sastre, torero, pintor, albañil, marinero;músico militar, sastre, torero, pintor, payaso, marinero;torero, capitán, payaso, dependiente;C;4 Valencia contemporánea;4 Complicada
¿ En qué año se inician las obras del torreón del Palau de la Generalitat?;1200;1316;1425;1518;D;3 Valencia Moderna;3 Normal
¿Cual es el apellido real de Lucrecia Bori?; Lucrecia Borja y González de Riancho;Lucrecia Bori ;Lucrecia Borja;Lucrecia González;A;4 Valencia contemporánea;3 Normal
¿ Dónde actuó Lucrecia Bori en España?;Teatro Real de Madrid;No actuó en España;Gran Teatre del Liceu, Barcelona;Palau de les Arts Reina Sofía, Valencia;B;4 Valencia contemporánea;4 Complicada
¿Cuándo se subió por primera vez a un escenario Lucrecia Bori?;Con 10 años;Con 13 años;Con 8 años;Con 6 años;D;4 Valencia contemporánea;4 Complicada
¿ De qué estilo es el torreón?;rococó;barroco;manierista;renacentista;D;3 Valencia Moderna;3 Normal
Donde esta enterrada Lucrecia Bory?;Valencia;Roma;Madrid ;Nueva York;A;4 Valencia contemporánea;3 Normal
¿De dónde era Conchita Piquer?;México;Bolivia;España;Argentina;C;4 Valencia contemporánea;1 Muy fácil
¿ Cuándo se funda la Universidad vieja?;en el siglo XII;en el XIII;en el XV;en el XIV;C;3 Valencia Moderna;2 Fácil
¿Cuál fue la ópera más famosa de Manuel Penella realizada en el Teatro Principal de Valencia?;El puercoespín Serafín, 1917.;El gato montés, 1916.;La perra chica, 1908.;La reina jamón, 1930.;B;4 Valencia contemporánea;2 Fácil
¿ A qué arquitecto se encargó el diseño de la Universidad?;Lanuza;Pere Compte;Corbera;Manzano;B;3 Valencia Moderna;3 Normal
¿Que  tipo de voz tenia Lucrezia Bori?;Bajo;Tenor;Mezzosoprano;Soprano;D;4 Valencia contemporánea;4 Complicada
¿ Por qué se conoce a esta Universidad con el nombre de La Nau?;porque se parece a una nave;porque dentro se guarda una nave;porque está situada en la calle de La Naveve;porque se ve desde arriba como una nave;C;3 Valencia Moderna;2 Fácil
¿ Qué escritor fue vecino de Lucrecia Bori y más tarde fue enterrada junto a él?;Abelardo castillo;William Shakespeare;Juan Gil Albert;Vicente Blasco Ibáñez;C;4 Valencia contemporánea;4 Complicada
que fue necesario para declarar la composición de Jose Serrano como himno nacional nacional ;se necesito la probación de  los alcaldeses de  la comunidad valenciana ;estar reconocida por la Acadèmia Valenciana de la Llengua;ser publicada por la Junta Local Fallera de;un informe que debia ser tramitado por las cortes valencianas ;D;4 Valencia contemporánea;4 Complicada
Que titol reial va tindre Maria de Castella? ;Reina consort;Reina;Marquessa;Princessa;A;2 Valencia Medieval;3 Normal
Que oficio tuvo Pere Comte ?;Arquitecto;Pescador;Artesano;Militar;A;2 Valencia Medieval;2 Fácil
Como se llamaba el hospital que fundo Juan Gilabert ?;La Salud;dels Folls;La Fe;Hospital general;B;2 Valencia Medieval;2 Fácil
Donde nacio Maria de castella ?;Segovia;Valencia;Valladolid;Napoles;A;2 Valencia Medieval;3 Normal
Què tipus de llibres escribía Isabel de Villena? ;Llibres d\'aventures;Llibres profeministes;Llibres de poesia ;Llibres fantàstics;B;2 Valencia Medieval;3 Normal
Como se llamaba el libro que escribio Isabel de Viena?;Els Tres Mosqueters;Espill;Vita Christi;Llibre de les dones;C;2 Valencia Medieval;3 Normal
De quien fue esposo Germana de Foix ?;Duc d\'Olivares;Ferran el Catolic;Juan de foix;Luis XIV;B;2 Valencia Medieval;3 Normal
Como se llamo la obra que escribio Jaume Roig ?;El Quijote;la Biblia;El Viejo y el Mar;Espill;D;2 Valencia Medieval;3 Normal
Que hizo sobre Valencia Germana de Foix;La ataco;La castellanizo;La goberno;La valencianizo;B;2 Valencia Medieval;3 Normal
¿ Por qué en el vestíbulo de entrada de la calle Universidad el suelo es de metacrilato transparente?;porque es más bonito;porque te puedes resbalar;porque debajo se ven restos de murallas árabes;porque es un material fuerte y duro;C;3 Valencia Moderna;1 Muy fácil
¿Con quién contrajo matrimonio Conchita Piquer?;Marco Antonio;Antonio Marín;Mario García;Antonio Márquez;D;4 Valencia contemporánea;4 Complicada
¿ Dónde está situada la iglesia de El Patriarca?;en Benimaclet;en Patraix;En la calle de La Nave, frente a la antigua universidad literaria;en Orriols;C;3 Valencia Moderna;2 Fácil
año de inicio y finalización de la construcción de El Patriarca;1.220-1321;1.400-1.412;1.300-1.500;1.586-1.615;D;3 Valencia Moderna;3 Normal
¿ De qué estilo es el claustro de la idglesia de El Patriarca?;rococó;barroco;renacentista;manierista;C;3 Valencia Moderna;3 Normal
¿ De qué material son sus columnas?;de mármol genovés;de alabastro;de metal;de arcilla;A;3 Valencia Moderna;4 Complicada
¿ Cuándo fue declarada la iglesia de El Patriarca monumento histórico artístico nacional?;1540;1321;1415;1962;D;3 Valencia Moderna;4 Complicada
La iglesia junto al claustro tiene una capilla decorada al fresco. ¿Quién la pintó?;Lanuza;Corbera;Pere Compte;Bartolomé Matarana;D;3 Valencia Moderna;4 Complicada
¿Cuál de estas canciones es republicana?;Cara al sol;El camarada;A las barricadas; Himno Nacional;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
"Este fragmento de una canción ""Gloria a la Patria que supo seguir""¿ a que bando pertenece?";Republicano.;Nacionalista.;Todas las respuestas son correctas.;Ninguna de las anteriores.;B;5 Valencia desde la guerra civil hasta el presente;3 Normal
La Basílica de la Virgen de los Desamparados ha tenido muchas fases, pero ¿ Cuándo se inició su construcción?;1400;1515;1220;1652;D;3 Valencia Moderna;4 Complicada
La puerta principal de la catedral es barroca. ¿ Qué nombre recibe esa puerta?;Puerta de los Hierros;Puerta del Real;Puerta de Mariola;Puerta del Príncipe;A;3 Valencia Moderna;3 Normal
Quin d\'aquests personatges fou un cantautor valencia de la posguerra?;Miguel Bosé;Lluís Llach;Don Jose Concepción-Marcos;Saül Ortolà;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
Segueix aquesta canço del grup actual Aspencat: música naix de la...;Passió;amistat;llibertat;Ràbia;D;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿En que canción se canta  (agrupémonos todos, en la lucha final...)?;La internacional ;No pasarán ;L\'estaca ;Farangista soy ;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
Quín instrument és típic de la música en valencià?;Trompeta;Dolzaina;Guitarra;Tabal;B;5 Valencia desde la guerra civil hasta el presente;2 Fácil
¿cual era la temática de las canciones republicanas?;Libertad de expresión y amor.;Dictadura, patria y muerte.;Naturaleza.;Religioso.;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Cuantos años duro el régimen ?;32;40;36;35;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
En quín periode històric va surgir la nova cançó? ;Guerra Civil;Actualitat;Edat de Mitjana;Posguerra;D;5 Valencia desde la guerra civil hasta el presente;5 Muy complicada
¿ Cuándo se construyó el campanario de Santa Catalina?;entre 1210 y 1315;entre 1315 y 1316;entre 1525 y 1527;entre 1688 y 1705;D;3 Valencia Moderna;4 Complicada
En que año Jaime l estableció y juro los fueros de la ciudad de Valencia?;1261;1263;1457;1459;A;2 Valencia Medieval;2 Fácil
¿ Quién construyó el campanario de Santa Catalina?;Juan Bautista Viñes;Pere Compte;Lanuza;Corbera;A;3 Valencia Moderna;3 Normal
¿ De qué estilo es el campanario de Santa Catalina?;rococó;neoclásico;barroco;renacentista;C;3 Valencia Moderna;3 Normal
Quin es l\'himne republicà en catala;la campana ;a les barricades ;si algun dia en vols escriure;la mort de na Margalida;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿En qué año sucedió la Batalla del Ebro?;1936;1938;1939;1940;B;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Quantes voltes va anar el tio canya a Valencia?;1;3;2;7;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Por qué país fue creado el Pacto de la No Intervención?;España;Francia;Italia;URRS;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿ Dónde está situada la iglesia del antiguo Convento del Carmen?;en la calle Museo;Plaza de la Reina;calle San Vicente;Calle Bailén;A;3 Valencia Moderna;2 Fácil
Sigue la canción: Si em dius adéu Vull que el dia sigui net i clar Que cap ocell Trenqui l\'harmonia del seu cant ;Que tinguem sort;Que tinguis sort ;Que el sol faci el dia molt més llarg;I així pren, i així pren;B;5 Valencia desde la guerra civil hasta el presente;5 Muy complicada
¿ Cuándo se realiza la reforma barroca del templo de la iglesia de los Santos Juanes?;entre 1100 y 1200;entre 1200 y 1300;entre 1300 y 1400;entre 1693 y 1710;D;3 Valencia Moderna;4 Complicada
On va náixer Ovidi  Montllor;Alcoy;Aielo ;Dénia;Xàtiva;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿ Dónde está situada la iglesia de los Santos Juanes?;Plaza de la Reina;Plaza del Ayuntamiento;Calle San Vicente;frente a La Lonja y al lado del mercado central;D;3 Valencia Moderna;3 Normal
El bando franquista y el bando republicano son conocidos popularmente como.;blancos y negros;Rojos y azules;Norte y sur;Nacionales y rojos;D;5 Valencia desde la guerra civil hasta el presente;2 Fácil
El bando nacional recibió ayuda de:;Hitler y Rubén Darío ;Lenin y Cervantes;Hitler y Mussolini;Todos;C;5 Valencia desde la guerra civil hasta el presente;1 Muy fácil
¿Qué consecuencias tuvo la Guerra Civil?;Consecuencias Demográficas;Consecuencias Económicas;Consecuencias Sociales y Morales;Todas las anteriores son correctas;D;5 Valencia desde la guerra civil hasta el presente;2 Fácil
¿Quién compuso el Himno Regional de Valencia?;El mestre Serrano;El mestre Rodrigo;Vivaldi;Francisco;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Cual de estos grupos es de los años 60 y 70?;Los Bravos.;U2;Coldplay.;Todas son correctas.;A;5 Valencia desde la guerra civil hasta el presente;3 Normal
José Serrano compuso...;El himno de España;Paquito el chocolatero;Himno de Alicante;Himno de Valencia;D;4 Valencia contemporánea;2 Fácil
¿En qué lugar de EEUU actuó Concha Piquer?;Chicago;Hawaii;Nueva York;San Francisco;C;4 Valencia contemporánea;3 Normal
¿Quién era Jose Serrano?;Compositor de ópera;Compositor de la C.Valenciana;Cinematográfico;Director de una orquesta en Valencia;B;4 Valencia contemporánea;3 Normal
Principal cantant del grup La Gossa Sorda;Xavi Serra;Josep Nadal;Pep Gimeno Botifarra;Paco Muñoz;B;5 Valencia desde la guerra civil hasta el presente;5 Muy complicada
Qué porcentaje ha bajado de la poliomielitis desde la Edad Contenporánea hasta el día de hoy;98,00 %;35,00 %;99,00 %;45,00 %;C;4 Valencia contemporánea;5 Muy complicada
¿Durante cuánto tiempo fue Valencia la capital de la Segunda República?;Dos años;Dos meses;Un año y medio;Once meses;D;4 Valencia contemporánea;3 Normal
¿Donde terminó la guerra civil?;En el puerto de Valencia;En el puerto de Alicante;En el puerto de Castellón;En el puerto de Tarragona;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Que va ser el monestir de San Miquel dels Reis el 1939;John Cobra;El Sisas;Un penal;El batu;C;4 Valencia contemporánea;3 Normal
De que año a que año dura la Segunda Republica Española?;1873-1874;1783-1847;1874-1875;1870-1875;A;4 Valencia contemporánea;3 Normal
En Valencia tuvo lugar;La mayor parte de la guerra civil;La 2ª Guerra Mundial;Ninguna de las anteriores;La batalla de Lepanto;C;4 Valencia contemporánea;1 Muy fácil
¿Cuando fue la crisis del Petroleo?;1956;1968;1973;1978;C;4 Valencia contemporánea;3 Normal
¿Qué poeta estuvo refugiado en Valencia durante la Guerra Civil?;Gustavo Adolfo Bécquer;Gil Albert;Antonio Machado;Federico García Lorca;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Qué función tuvo la Biblioteca Pública de València durante la Guerra Civil?;Manicomio;Residencia;Hospital;Biblioteca;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Cuando transformo Franco  el Monasterio de San Miguel en prisión?;1938-1941;1939-1966;1945-1948;1969-1972;B;4 Valencia contemporánea;3 Normal
¿Qué ciudad fue capital de la II República durante 1936-1937?;Madrid;Jaén;València;Santiago de Compostela;C;5 Valencia desde la guerra civil hasta el presente;2 Fácil
¿Quién era La Pasionaria, dirigente del PCE durante la II República?;Dolores ibárruri;Luisa Carnés;Carmen Barrero;Elena Gil;A;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Cuales fueron los arquitectos de la Ciutat de les  Ciencies?;Santiago Calatrava-Felix Candela.;Santiago Calatrava-Carlos Lazaro;Felix Candela-Alberto Domingo;Alberto Domingo-Carlos Lazaro;A;4 Valencia contemporánea;5 Muy complicada
¿En qué año votaron las mujeres españolas por primera vez en unas elecciones?;1931;1975;1933;1978;C;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿Cuando sucedió la gran riada en Valencia? ;1959;1957;1956;1958;B;4 Valencia contemporánea;4 Complicada
¿Cuál de estos bares de Ruzafa fue la la sede de la Unificación Comunista de España?;El Patio de Ruzafa;Radio Tránsito;Micro Teatre ÇRuzafa;Restaurante Maui;A;5 Valencia desde la guerra civil hasta el presente;5 Muy complicada
¿Año Construcción del Puente Assut de l\'Or?;2015-2016;2000-2003;2004-2008;2006-2010;C;3 Valencia Moderna;3 Normal
¿Año de construcción de las torres de serrano?;1392-1398;1345-1349;1368-1372;1341-1344;A;2 Valencia Medieval;4 Complicada
¿Qué edificio histórico se inauguró durante la II República en Valencia?;Mercado de Ruzafa;Estación del Norte;El Miguelete;El Mercado Central;D;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Cuando empezo  y acabo la segunda republica?;1930-1936;1920-1926;1931-1936;1950-1953;C;5 Valencia desde la guerra civil hasta el presente;4 Complicada
Cuando  se proclamó la república?;12 de marzo de 1945;18 de mayo de 1955;14 de abril del 1931;18 de septiembre de 1965;C;4 Valencia contemporánea;3 Normal
Ingredient essensial de la paella ;Arroç;Verdura;Carn;Colorant;A;3 Valencia Moderna;2 Fácil
De quina part de valència es concretament la orchata;Albuixec;Alboraya;Almanssa;Alzira;B;3 Valencia Moderna;3 Normal
Per 4 gots d\'arroç  cuants gots de caldo hi ha que tirar?;4;8;2;a ull;D;2 Valencia Medieval;4 Complicada
Per a menjar de la paella quin cuvert s\'utilitza?;forqueta;gavinet;cullera;amb les mans;C;3 Valencia Moderna;3 Normal
quants dies com a minim s\'ha de deixar reposar la chufa;3;2;7;1;A;3 Valencia Moderna;5 Muy complicada
¿ Cómo era San Vicente en el convento?;Piadoso, humilde y estudioso;Piadoso, uraño y curioso;Rebelde, estudioso y curioso;No tenía interés por las cosas de Dios;A;2 Valencia Medieval;2 Fácil
¿Despúes de sus votos que hizo San Vicente Ferrer?;fue destinado a un hospital a cuidar enfermos;se fue a Italia a aconsejar al Papa;enviado a Barcelona a estudiar filosofía;se fue a fundar un convento;B;2 Valencia Medieval;3 Normal
¿Conoces lo que ocurrió con unos barcos de trigo en Barcelona?;Dio tranquilidad al pueblo y dijo que vendrían esa noche barcos cargados de trigo;pagó con su dinero el trigo que había en unos barcos;se puso a rezar con la ciudad unida;mandó hundir los barcos que tenían trigo enmohecido;A;2 Valencia Medieval;3 Normal
¿Cuándo fue ordenado sacerdote San Vicente?;1378;1389;1367;1350;A;2 Valencia Medieval;4 Complicada
¿Qué hizo San Vicente ante el cisma de occidente?;Viajó a Persia a estudiar el Islam;Tomó parte por el Papa de la línea de Avignon;como conocedor del hebreo le nombraron Senedrín;No quiso implicarse;B;2 Valencia Medieval;3 Normal
¿Dio clases en Valencia San Vicente Ferrer?;Sí, en la Universidad Politécnica;Sí, en la cátedra de Hebreo;Sí, en la cátedra de Teología;No, era predicador;C;2 Valencia Medieval;3 Normal
